prof_id,week_day,hour_begin,hour_end,level,note,constraint
21,Thu,16:30,17:30,undesired,,"not (Thu, [16:30,17:30])"
21,Thu,8:30,09:30,undesired,,"not (Thu, [8:30,09:30])"
21,Tue,16:30,17:30,undesired,,"not (Tue, [16:30,17:30])"
21,Tue,8:30,09:30,impossible,,"NOT (Tue, [8:30,09:30])"
21,Wed,16:30,17:30,undesired,,"not (Wed, [16:30,17:30])"
21,Wed,8:30,09:30,undesired,,"not (Wed, [8:30,09:30])"
22,Fri,13:30,14:30,undesired,,"not (Fri, [13:30,14:30])"
22,Fri,14:30,15:30,impossible,,"NOT (Fri, [14:30,15:30])"
22,Fri,8:30,09:30,undesired,,"not (Fri, [8:30,09:30])"
22,Mon,8:30,09:30,undesired,,"not (Mon, [8:30,09:30])"
22,Thu,12:30,13:30,undesired,,"not (Thu, [12:30,13:30])"
22,Thu,13:30,14:30,undesired,,"not (Thu, [13:30,14:30])"
22,Thu,14:30,15:30,impossible,,"NOT (Thu, [14:30,15:30])"
22,Thu,8:30,09:30,undesired,,"not (Thu, [8:30,09:30])"
22,Tue,8:30,09:30,undesired,,"not (Tue, [8:30,09:30])"
22,Wed,8:30,09:30,undesired,,"not (Wed, [8:30,09:30])"
23,Fri,15:30,16:30,impossible,,"NOT (Fri, [15:30,16:30])"
23,Fri,16:30,17:30,impossible,,"NOT (Fri, [16:30,17:30])"
23,Fri,17:30,18:30,undesired,,"not (Fri, [17:30,18:30])"
23,Fri,18:30,19:30,undesired,,"not (Fri, [18:30,19:30])"
23,Thu,17:30,18:30,undesired,,"not (Thu, [17:30,18:30])"
23,Thu,18:30,19:30,undesired,,"not (Thu, [18:30,19:30])"
23,Wed,15:30,16:30,undesired,,"not (Wed, [15:30,16:30])"
23,Wed,16:30,17:30,undesired,,"not (Wed, [16:30,17:30])"
23,Wed,17:30,18:30,undesired,,"not (Wed, [17:30,18:30])"
23,Wed,18:30,19:30,undesired,,"not (Wed, [18:30,19:30])"
24,Fri,16:30,17:30,undesired,,"not (Fri, [16:30,17:30])"
24,Fri,17:30,18:30,undesired,,"not (Fri, [17:30,18:30])"
24,Fri,18:30,19:30,undesired,,"not (Fri, [18:30,19:30])"
24,Mon,17:30,18:30,undesired,,"not (Mon, [17:30,18:30])"
24,Mon,18:30,19:30,undesired,,"not (Mon, [18:30,19:30])"
24,Thu,18:30,19:30,undesired,,"not (Thu, [18:30,19:30])"
24,Tue,17:30,18:30,undesired,,"not (Tue, [17:30,18:30])"
24,Tue,18:30,19:30,undesired,,"not (Tue, [18:30,19:30])"
24,Wed,17:30,18:30,impossible,,"NOT (Wed, [17:30,18:30])"
24,Wed,18:30,19:30,impossible,,"NOT (Wed, [18:30,19:30])"
25,Fri,16:30,17:30,undesired,,"not (Fri, [16:30,17:30])"
25,Fri,8:30,09:30,undesired,,"not (Fri, [8:30,09:30])"
25,Mon,16:30,17:30,undesired,,"not (Mon, [16:30,17:30])"
25,Mon,8:30,09:30,impossible,,"NOT (Mon, [8:30,09:30])"
25,Thu,16:30,17:30,undesired,,"not (Thu, [16:30,17:30])"
25,Thu,8:30,09:30,undesired,,"not (Thu, [8:30,09:30])"
25,Tue,16:30,17:30,undesired,,"not (Tue, [16:30,17:30])"
